Epoch,Train_Loss,Test_Accuracy,Sensitivity,Specificity,F1_Score,AUC
1,0.09954059850160618,0.8878205128205128,0.9512820512820512,0.782051282051282,0.9137931034482759,0.9478961209730441
2,0.03223357150590882,0.8701923076923077,0.9897435897435898,0.6709401709401709,0.9050410316529894,0.9425761560376944
3,0.016083537693997313,0.8733974358974359,0.9692307692307692,0.7136752136752137,0.9053892215568863,0.9517970633355248
4,0.018019351517916348,0.8189102564102564,0.9948717948717949,0.5256410256410257,0.8728908886389202,0.9495890861275477
5,0.004678804958676732,0.8717948717948718,0.9923076923076923,0.6709401709401709,0.9063231850117096,0.9587113740959895
6,0.005826336052346875,0.7676282051282052,1.0,0.3803418803418803,0.8432432432432433,0.94813171159325
7,0.003074921067355452,0.8349358974358975,0.9948717948717949,0.5683760683760684,0.8828213879408419,0.938795748411133
8,0.0025867143554121983,0.8397435897435898,0.9923076923076923,0.5854700854700855,0.88558352402746,0.9356947183870261
9,0.0013573512581352113,0.8621794871794872,0.9923076923076923,0.6452991452991453,0.9,0.9431733508656586
10,0.0006122289842890026,0.8317307692307693,0.9948717948717949,0.5598290598290598,0.8808172531214529,0.949528818759588
11,0.0012429484992137346,0.844551282051282,0.9923076923076923,0.5982905982905983,0.8886337543053962,0.9410475564321719
12,0.010714628918170734,0.7403846153846154,0.9948717948717949,0.3162393162393162,0.8272921108742004,0.9281284242822704
13,0.016437967463541814,0.8814102564102564,0.982051282051282,0.7136752136752137,0.9119047619047619,0.957577251808021
14,0.008745766872872434,0.8878205128205128,0.9846153846153847,0.7264957264957265,0.9164677804295943,0.9710278325662941
15,0.0026116946728391875,0.844551282051282,0.9948717948717949,0.594017094017094,0.8888888888888888,0.9513532763532764
