Epoch,Train_Loss,Test_Accuracy,Sensitivity,Specificity,F1_Score,AUC
1,0.23062701910000785,0.8060897435897436,0.7666666666666667,0.8717948717948718,0.8317107093184979,0.8974139820293666
2,0.12007782722862909,0.7307692307692307,0.9974358974358974,0.2863247863247863,0.8224101479915433,0.9208196362042517
3,0.10792868903238746,0.7964743589743589,0.9769230769230769,0.49572649572649574,0.8571428571428571,0.9297720797720798
4,0.05980108418667899,0.7019230769230769,0.9974358974358974,0.2094017094017094,0.8070539419087137,0.9113247863247865
5,0.05153426759383911,0.8317307692307693,0.9666666666666667,0.6068376068376068,0.8777648428405123,0.9299254876177953
6,0.04135586474143597,0.8349358974358975,0.9461538461538461,0.6495726495726496,0.8775267538644471,0.9202114836730222
7,0.03912835508462745,0.7948717948717948,0.9717948717948718,0.5,0.8555304740406321,0.9226331360946745
8,0.035128630004270384,0.8557692307692307,0.8589743589743589,0.8504273504273504,0.881578947368421,0.9225673898750821
9,0.022548558161990532,0.7131410256410257,0.9974358974358974,0.23931623931623933,0.812957157784744,0.8896175761560378
10,0.018937790949011497,0.7836538461538461,0.982051282051282,0.452991452991453,0.8501664816870145,0.8799254876177954
11,0.020792902013916165,0.6762820512820513,1.0,0.13675213675213677,0.7942973523421588,0.9087058952443567
12,0.026804842694997954,0.717948717948718,0.9948717948717949,0.2564102564102564,0.8151260504201681,0.8979783037475346
13,0.013723556728065458,0.7708333333333334,1.0,0.3888888888888889,0.8450704225352113,0.92666557089634
14,0.020556378896757238,0.8541666666666666,0.8102564102564103,0.9273504273504274,0.8741355463347165,0.9382642998027614
15,0.024550349400034987,0.7708333333333334,0.9948717948717949,0.3974358974358974,0.8443960826985855,0.9057527942143326
16,0.023717565438727516,0.8605769230769231,0.9615384615384616,0.6923076923076923,0.8960573476702509,0.9176966907736138
17,0.01384593795455081,0.7996794871794872,0.9743589743589743,0.5085470085470085,0.8587570621468926,0.893852728468113
18,0.007769960014439152,0.8189102564102564,0.982051282051282,0.5470085470085471,0.8714448236632537,0.9188253342099495
19,0.00983477944937395,0.7323717948717948,0.9974358974358974,0.2905982905982906,0.8232804232804233,0.907451238220469
20,0.004459370003779135,0.8028846153846154,0.9794871794871794,0.5085470085470085,0.8613303269447576,0.9109960552268245
21,0.004031290141443269,0.7147435897435898,1.0,0.23931623931623933,0.81419624217119,0.892800788954635
22,0.005005912487820814,0.8317307692307693,0.9717948717948718,0.5982905982905983,0.8783314020857474,0.9177076484768792
23,0.010945788590878348,0.8205128205128205,0.9794871794871794,0.5555555555555556,0.8721461187214612,0.9049419241726935
24,0.028408562881808857,0.875,0.941025641025641,0.7649572649572649,0.9039408866995073,0.9314760026298488
25,0.013017033362736139,0.844551282051282,0.9769230769230769,0.6239316239316239,0.8870779976717112,0.9200580758273066
26,0.009561806709622294,0.8028846153846154,0.9871794871794872,0.49572649572649574,0.8622620380739082,0.9230276134122287
27,0.010133333795932785,0.7868589743589743,0.9871794871794872,0.452991452991453,0.8527131782945736,0.9212689020381328
28,0.016344545324180917,0.8589743589743589,0.9717948717948718,0.6709401709401709,0.8959810874704491,0.9421542844619768
29,0.01025703193484941,0.7740384615384616,0.9948717948717949,0.405982905982906,0.8462377317339149,0.9243206223975453
30,0.01608653722018751,0.8012820512820513,0.9846153846153847,0.49572649572649574,0.8609865470852018,0.9121685294762217
31,0.01045514197845087,0.7387820512820513,1.0,0.3034188034188034,0.8271474019088016,0.9115603769449924
32,0.004843648878328286,0.7612179487179487,0.9948717948717949,0.3717948717948718,0.8389189189189189,0.9082785448170064
33,0.005535661917998289,0.8189102564102564,0.9871794871794872,0.5384615384615384,0.8720271800679502,0.913834100372562
34,0.0033804438138457867,0.8349358974358975,0.9743589743589743,0.6025641025641025,0.880648899188876,0.9198553583168967
35,0.003114399946666976,0.7916666666666666,0.9923076923076923,0.45726495726495725,0.8561946902654868,0.901720359412667
36,0.01227354926211165,0.8060897435897436,0.9538461538461539,0.5598290598290598,0.8601156069364162,0.8790269559500329
37,0.003783196159468312,0.7836538461538461,0.9923076923076923,0.4358974358974359,0.8514851485148515,0.9105851413543721
38,0.002716622231269462,0.7916666666666666,0.9948717948717949,0.452991452991453,0.8565121412803532,0.9206826649134341
39,0.010025217108180022,0.8076923076923077,0.9743589743589743,0.5299145299145299,0.8636363636363636,0.9105577470962085
40,0.016287067114512,0.7035256410256411,0.9974358974358974,0.21367521367521367,0.8078920041536864,0.8630067937760246
41,0.013557372576153248,0.782051282051282,0.9974358974358974,0.4230769230769231,0.8512035010940919,0.9127931185623493
42,0.012418620783766546,0.8221153846153846,0.9923076923076923,0.5384615384615384,0.8745762711864407,0.917422748191979
43,0.005824519645783489,0.7708333333333334,0.9897435897435898,0.405982905982906,0.8437158469945355,0.9059062020600481
44,0.008401665672150112,0.7708333333333334,0.9948717948717949,0.3974358974358974,0.8443960826985855,0.9131273285119438
45,0.0047280140086820265,0.7852564102564102,0.9974358974358974,0.43162393162393164,0.8530701754385965,0.9198553583168968
46,0.008364612034758648,0.7419871794871795,0.9974358974358974,0.3162393162393162,0.8285410010649628,0.8999232960771423
47,0.0050868778284978555,0.8237179487179487,0.982051282051282,0.5598290598290598,0.8744292237442922,0.8953594126671051
48,0.005542064751203673,0.7980769230769231,0.9846153846153847,0.48717948717948717,0.8590604026845637,0.9296351084812623
49,0.006642888845877335,0.8493589743589743,0.9256410256410257,0.7222222222222222,0.8848039215686274,0.902503835196143
50,0.004548221447289306,0.7516025641025641,0.9923076923076923,0.3504273504273504,0.8331539289558665,0.9144258163488933
