Epoch,Train_Loss,Test_Accuracy,Sensitivity,Specificity,F1_Score,AUC
1,0.11493656592614432,0.8653846153846154,0.9923076923076923,0.6538461538461539,0.9020979020979021,0.9378698224852072
2,0.04282978920409793,0.8814102564102564,0.9897435897435898,0.7008547008547008,0.9125295508274232,0.9522901599824677
3,0.01619858445674681,0.8509615384615384,0.9923076923076923,0.6153846153846154,0.8927335640138409,0.9587332895025202
4,0.010581849165133004,0.8157051282051282,0.9948717948717949,0.5170940170940171,0.8709315375982043,0.933541529695376
5,0.008823668199388545,0.8221153846153846,0.9948717948717949,0.5341880341880342,0.874859075535513,0.9496000438308131
6,0.00600490227045101,0.8092948717948718,0.9948717948717949,0.5,0.8670391061452514,0.945414201183432
7,0.004761849220294858,0.8012820512820513,0.9974358974358974,0.47435897435897434,0.8625277161862528,0.919307473153627
8,0.004073975506182385,0.842948717948718,0.9871794871794872,0.6025641025641025,0.8870967741935484,0.9175432829278983
9,0.009647812009535559,0.8701923076923077,0.9897435897435898,0.6709401709401709,0.9050410316529894,0.940318869165023
10,0.0017373164376333539,0.8365384615384616,0.9974358974358974,0.5683760683760684,0.884090909090909,0.9180966469428007
11,0.0025961835823340605,0.8701923076923077,0.9897435897435898,0.6709401709401709,0.9050410316529894,0.9416721455182994
12,0.002774298055968883,0.8189102564102564,0.9974358974358974,0.5213675213675214,0.8731762065095399,0.9159270216962524
13,0.0024701119528934574,0.8637820512820513,0.9923076923076923,0.6495726495726496,0.9010477299185099,0.9599769888231426
14,0.006565687544734164,0.8092948717948718,0.9897435897435898,0.5085470085470085,0.8664421997755332,0.936385053692746
15,0.01104516772495855,0.8846153846153846,0.9794871794871794,0.7264957264957265,0.9138755980861244,0.9446471619548543
